ArchiveDate,HospitalName,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
28/10/2021,Nenagh Hospital,Adult,330,334,177,135,976
28/10/2021,Our Lady of Lourdes Hospital Drogheda,Adult,217,0,0,0,217
28/10/2021,Our Lady's Hospital Navan,Adult,446,41,2,0,489
28/10/2021,Portiuncula University Hospital,Adult,224,40,21,9,294
28/10/2021,Roscommon University Hospital,Adult,417,274,91,3,785
28/10/2021,Sligo University Hospital,Adult,752,88,3,2,845
28/10/2021,South Infirmary Victoria University Hospital,Adult,309,21,0,0,329
28/10/2021,St. Columcille's Hospital,Adult,162,103,18,43,326
28/10/2021,St. James's Hospital,Adult,"1,231",327,81,125,"1,764"
28/10/2021,St. John's Hospital Limerick,Adult,658,250,161,208,"1,277"
28/10/2021,St. Luke's General Hospital Kilkenny,Adult,708,168,61,2,940
28/10/2021,St. Michael's Hospital,Adult,327,16,2,5,351
28/10/2021,St. Vincent's University Hospital,Adult,159,0,0,0,159
28/10/2021,Tallaght University Hospital,Adult,"1,344",882,248,233,"2,708"
28/10/2021,Tipperary University Hospital,Adult,427,2,0,0,429
28/10/2021,University Hospital Kerry,Adult,551,2,0,0,553
28/10/2021,University Hospital Limerick,Adult,388,191,146,492,"1,217"
28/10/2021,University Hospital Waterford,Adult,365,141,49,35,590
28/10/2021,Wexford General Hospital,Adult,542,285,137,81,"1,045"
28/10/2021,Children's Health Ireland,Child,250,62,30,40,382
28/10/2021,Small Volume Hospitals,Child,24,5,3,4,36
25/11/2021,Bantry General Hospital,Adult,210,84,5,4,303
25/11/2021,Beaumont Hospital,Adult,783,2,0,0,785
25/11/2021,Cavan General Hospital,Adult,554,0,0,0,554
25/11/2021,Connolly Hospital Blanchardstown,Adult,697,8,0,0,705
25/11/2021,Cork University Hospital,Adult,520,193,56,10,778
25/11/2021,Ennis Hospital,Adult,434,45,77,164,719
25/11/2021,Galway University Hospitals,Adult,"1,134",427,137,65,"1,762"
25/11/2021,Letterkenny University Hospital,Adult,"1,064",515,338,605,"2,522"
25/11/2021,Louth County Hospital,Adult,876,5,0,0,882
25/11/2021,Mallow General Hospital,Adult,82,21,2,0,104
25/11/2021,Mater Misericordiae University Hospital,Adult,834,709,399,95,"2,036"
25/11/2021,Mayo University Hospital,Adult,380,214,152,278,"1,024"
25/11/2021,Mercy University Hospital,Adult,456,49,4,14,523
25/11/2021,Midland Regional Hospital Mullingar,Adult,547,35,0,0,581
25/11/2021,Midland Regional Hospital Portlaoise,Adult,277,63,33,64,437
25/11/2021,Midland Regional Hospital Tullamore,Adult,380,88,2,0,470
25/11/2021,Naas General Hospital,Adult,461,35,61,15,571
25/11/2021,Nenagh Hospital,Adult,326,310,155,117,908
25/11/2021,Our Lady of Lourdes Hospital Drogheda,Adult,249,0,0,0,249
25/11/2021,Our Lady's Hospital Navan,Adult,435,2,0,0,437
25/11/2021,Portiuncula University Hospital,Adult,199,25,9,2,234
25/11/2021,Roscommon University Hospital,Adult,348,177,86,2,613
25/11/2021,Sligo University Hospital,Adult,702,95,0,2,799
25/11/2021,South Infirmary Victoria University Hospital,Adult,378,14,2,0,393
25/11/2021,St. Columcille's Hospital,Adult,196,86,12,43,337
25/11/2021,St. James's Hospital,Adult,"1,331",367,75,88,"1,862"
25/11/2021,St. John's Hospital Limerick,Adult,526,215,156,220,"1,117"
25/11/2021,St. Luke's General Hospital Kilkenny,Adult,654,165,67,0,885
25/11/2021,St. Michael's Hospital,Adult,349,10,4,2,364
