ArchiveDate,Hospital_Name,Case_Type,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
28/11/2024,University Hospital Waterford,Inpatient,Child,67,83,22,2,174
19/12/2024,Bantry General Hospital,Day Case,Adult,217,27,13,24,281
19/12/2024,Beaumont Hospital,Day Case,Adult,"3,526","1,503",339,226,"5,594"
19/12/2024,Cavan General Hospital,Day Case,Adult,369,5,12,2,389
19/12/2024,Connolly Hospital Blanchardstown,Day Case,Adult,"1,064",20,0,0,"1,084"
19/12/2024,Coombe Women and Infants University Hospital,Day Case,Adult,79,9,2,2,93
19/12/2024,Cork University Hospital,Day Case,Adult,665,242,70,51,"1,028"
19/12/2024,Cork University Maternity Hospital,Day Case,Adult,428,44,5,0,477
19/12/2024,Croom Orthopaedic Hospital,Day Case,Adult,270,0,0,0,270
19/12/2024,Ennis Hospital,Day Case,Adult,505,137,2,0,644
19/12/2024,Galway University Hospitals,Day Case,Adult,"4,942","1,605",489,556,"7,592"
19/12/2024,Kilcreene Regional Orthopaedic Hospital,Day Case,Adult,222,14,2,0,239
19/12/2024,Letterkenny University Hospital,Day Case,Adult,954,85,29,15,"1,083"
19/12/2024,Louth County Hospital,Day Case,Adult,697,10,0,0,707
19/12/2024,Mallow General Hospital,Day Case,Adult,257,102,46,21,426
19/12/2024,Mater Misericordiae University Hospital,Day Case,Adult,"3,530",744,244,471,"4,989"
19/12/2024,Mayo University Hospital,Day Case,Adult,560,15,7,0,583
19/12/2024,Mercy University Hospital,Day Case,Adult,436,52,2,0,490
19/12/2024,Midland Regional Hospital Mullingar,Day Case,Adult,614,92,41,0,747
19/12/2024,Midland Regional Hospital Portlaoise,Day Case,Adult,316,40,37,10,403
19/12/2024,Midland Regional Hospital Tullamore,Day Case,Adult,772,86,0,0,858
19/12/2024,Naas General Hospital,Day Case,Adult,265,24,5,0,294
19/12/2024,National Orthopaedic Hospital Cappagh,Day Case,Adult,564,35,2,2,604
19/12/2024,Nenagh Hospital,Day Case,Adult,872,372,2,0,"1,246"
19/12/2024,Our Lady of Lourdes Hospital Drogheda,Day Case,Adult,385,143,14,0,542
19/12/2024,Our Lady's Hospital Navan,Day Case,Adult,604,48,0,0,652
19/12/2024,Portiuncula University Hospital,Day Case,Adult,501,107,58,2,668
19/12/2024,Roscommon University Hospital,Day Case,Adult,416,121,82,40,659
